Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;B9K 2637760;;;;CCR;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
294-3075;6;;1129;STUD-TAPERLOCK (3/8-16X1.79-IN);322-8542;;CCR DESAR
294-3076;6;;1129;STUD-TAPERLOCK (3/8-16X3.1-IN);322-8542;;CCR DESAR
8T-7062;3;;1129;STUD-TAPERLOCK (1/2-13X55, 1/2-13X21-MM);322-8542;;CCR DESAR
230-9447;6;;1129;NUT-JAM (5/16-24-THD);330-1919;;CCR DESAR
250-9378;3;;1129;VALVE AS-BRAKE;330-1919;;CCR DESAR
5L-3708;2;;1901;STUD-TAPERLOCK (5/16-18X1.28-IN);243-1560;;CCR TU&EL
232-1693;1;;1901;BOLT-FLANGE HEAD (M6X1X35-MM);243-1560;;CCR TU&EL
8T-9655;8;;1901;MOUNT-ISOLATION;243-1560;;CCR TU&EL
9M-1974;4;;1901;WASHER-HARD (8.8X16X2-MM THK);243-1560;;CCR TU&EL
9N-0869;4;;1901;WASHER-HARD (8.8X25.5X2-MM THK);243-1560;;CCR TU&EL
2S-0795;2;;1350;GASKET;274-9994;;CCR DESAR
3S-9643;2;;1350;SEAL-LIP TYPE (WATER TEMPERATURE REGULATOR);274-9994;;CCR DESAR
4N-1156;1;;1350;GASKET-REGULATOR COVER (WATER TEMPERATURE);274-9994;;CCR DESAR
8T-4983;2;;1350;CLAMP-HOSE;274-9994;;CCR DESAR
9Y-4104;1;;1350;HOSE;274-9994;;CCR DESAR
125-0434;1;;1350;SEAL-INTEGRAL;274-9994;;CCR DESAR
126-4935;1;;1350;SEAL-INTEGRAL;274-9994;;CCR DESAR
139-3550;1;;1350;GASKET-REGULATOR (HOUSING)(WATER TEMPERATURE;274-9994;;CCR DESAR
248-5513;2;;1350;REGULATOR-TEMPERATURE (92-DEG C)(COOLANT);274-9994;;CCR DESAR
6V-6609;2;;1350;SEAL-O-RING;274-9994;;CCR DESAR
6V-5064;1;;1350;SEAL-O-RING;274-9994;;CCR DESAR
0S-1591;3;;1350;BOLT (3/8-16X1.5-IN);274-9994;;CCR DESAR
416-1498;3;;1350;SEAL-O-RING;274-9994;;CCR DESAR
6V-9027;2;;1350;SEAL-O-RING;274-9994;;CCR DESAR
154-9023;1;;1350;VALVE-SAMPLING;274-9994;;CCR DESAR
157-0670;1;;1350;CAP-DUST;274-9994;;CCR DESAR
3E-4352;1;;1350;WASHER-HARD (8.8X20.5X2.5-MM THK);274-9994;;CCR DESAR
5M-2894;10;;1350;WASHER-HARD (10.2X18.5X2.5-MM THK);274-9994;;CCR DESAR
5M-2894;2;;1201;WASHER-HARD (10.2X18.5X2.5-MM THK);107-6736;;CCR DESAR
4N-0699;1;;1201;GASKET;107-6736;;CCR DESAR
126-4935;1;;1201;SEAL-INTEGRAL;140-9746;;CCR DESAR
5M-2894;4;;1201;WASHER-HARD (10.2X18.5X2.5-MM THK);140-9746;;CCR DESAR
4M-6480;1;;1157;GASKET;216-5540;;CCR DESAR
6V-5839;2;;1157;WASHER (11X21X2.5-MM THK);216-5540;;CCR DESAR
9Y-6089;1;;1157;GASKET;220-6390;;CCR DESAR
9M-1974;2;;1151;WASHER-HARD (8.8X16X2-MM THK);120-9847;;CCR DESAR
061-9455;1;;1151;SEAL-O-RING;120-9847;;CCR DESAR
297-1813;12;;1151;SCREW-HEAD (5/16-18X1-IN);159-6159;;CCR DESAR
160-7271;1;;1151;SEAL;159-6159;;CCR DESAR
031-4155;2;;1151;LOCKNUT (5/16-18-THD)(MARKED X);159-6159;;CCR DESAR
238-5078;2;;1151;SEAL-O-RING (MARKED X);159-6159;;CCR DESAR
117-0219;1;;1151;GASKET;235-8781;;CCR DESAR
214-7566;1;;1151;SEAL-O-RING;235-8781;;CCR DESAR
5P-8245;3;;1151;WASHER-HARD (13.5X25.5X3-MM THK);235-8781;;CCR DESAR
5M-2894;1;;1801;WASHER-HARD (10.2X18.5X2.5-MM THK);230-0104;;CCR DESAR
167-8130;1;;1205;DAMPER AS;227-3705;;CCR DESAR
8T-9527;1;;3108;SEAL-O-RING;6I-3638;;CCR DESAR
5M-2894;4;;3108;WASHER-HARD (10.2X18.5X2.5-MM THK);6I-3638;;CCR DESAR
1B-3867;2;;3108;BALL BEARING;133-9907;;CCR DESAR
9X-2038;3;;3108;WASHER (7X19X2-MM THK);133-9907;;CCR DESAR
1H-8647;1;;3108;RING-SNAP;133-9907;;CCR DESAR
5M-2894;2;;1151;WASHER-HARD (10.2X18.5X2.5-MM THK);4P-6846;;CCR DESAR
5P-8245;2;;1151;WASHER-HARD (13.5X25.5X3-MM THK);108-9382;;CCR DESAR
149-5268;2;;1151;STUD-TAPERLOCK (1/2-13X5.75-IN);108-9382;;CCR DESAR
0L-1143;2;;1304;BOLT (3/8-16X2.5-IN);4N-2481;;CCR DESAR
5M-2894;3;;1304;WASHER-HARD (10.2X18.5X2.5-MM THK);4N-2481;;CCR DESAR
0S-1591;1;;1361;BOLT (3/8-16X1.5-IN);109-2373;;CCR DESAR
9L-8439;1;;7513;CAP-OIL FILLER (ENGINE);263-7310;;CCR DESAR
5M-2894;2;;7513;WASHER-HARD (10.2X18.5X2.5-MM THK);263-7310;;CCR DESAR
7C-4355;1;;7513;CLIP;263-7310;;CCR DESAR
210-9246;1;;7513;SEAL-O-RING;263-7310;;CCR DESAR
2P-3760;1;;1308;GASKET;292-4057;;CCR DESAR
2P-4304;1;;1308;STUD-HOLLOW;292-4057;;CCR DESAR
2P-4305;2;;1308;GASKET;292-4057;;CCR DESAR
4N-8150;1;;1308;SPRING;292-4057;;CCR DESAR
392-9208;1;;1308;PLUNGER-VALVE (RELIEF);292-4057;;CCR DESAR
1R-1808;1;;1308;FILTER-ENGINE OIL (ADVANCED EFFICIENCY);292-4057;;CCR DESAR
5M-2894;14;;1308;WASHER-HARD (10.2X18.5X2.5-MM THK);292-4057;;CCR DESAR
214-7566;1;;1308;SEAL-O-RING;292-4057;;CCR DESAR
214-7568;1;;1308;SEAL-O-RING;292-4057;;CCR DESAR
238-5081;1;;1308;SEAL-O-RING;292-4057;;CCR DESAR
9M-0164;1;;1317;CLAMP-HOSE;159-9362;;CCR DESAR
161-6622;1;;1317;CLIP;159-9362;;CCR DESAR
207-8128;1;;1317;HOSE AS (FUMES DISPOSAL);159-9362;;CCR DESAR
197-9631;1;;1317;GROMMET;159-9362;;CCR DESAR
5P-2369;1;;1317;CLIP (LOOP);159-9362;;CCR DESAR
221-1764;1;;1326;GAUGE GP-OIL LEVEL (DIPSTICK);221-1764;;CCR DESAR
165-6170;3;;1326;PLUG;221-1764;;CCR DESAR
221-1870;1;;1326;GAUGE AS-OIL LEVEL (ENGINE);221-1764;;CCR DESAR
118-5068;1;;1326;SEAL-O-RING;221-1764;;CCR DESAR
5M-2894;1;;1326;WASHER-HARD (10.2X18.5X2.5-MM THK);221-1764;;CCR DESAR
4N-0684;1;;1204;DOWEL;278-0095;;CCR DESAR
6V-5141;2;;1204;SEAL-O-RING;278-0095;;CCR DESAR
209-8624;1;;1204;BUSHING;278-0095;;CCR DESAR
